[2017-02-28 18:08:02,452][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:08:03,593][INFO][luminus.repl-server] nREPL server started on port 7000
[2017-02-28 18:08:03,595][INFO][marissa.config] 
-=[marissa started successfully using the development profile]=-
[2017-02-28 18:08:03,641][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2017-02-28 18:08:03,735][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2017-02-28 18:08:03,808][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2017-02-28 18:08:03,809][INFO][luminus.http-server] server started on port 3000
[2017-02-28 18:19:37,729][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:19:38,802][INFO][migratus.core] Starting migrations
[2017-02-28 18:19:39,101][INFO][migratus.database] creating migration table 'schema_migrations'
[2017-02-28 18:19:39,123][INFO][migratus.core] Running up for [20170228180616]
[2017-02-28 18:19:39,123][INFO][migratus.core] Up 20170228180616-add-users-table
[2017-02-28 18:19:39,127][DEBUG][migratus.database] found 1 up migrations
[2017-02-28 18:19:39,129][DEBUG][migratus.database] marking 20170228180616 complete
[2017-02-28 18:19:39,136][INFO][migratus.core] Ending migrations
[2017-02-28 18:24:48,726][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:28:59,046][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:33:17,258][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:35:33,119][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:36:12,946][INFO][luminus.repl-server] nREPL server stopped
[2017-02-28 18:36:12,947][INFO][marissa.handler] marissa is shutting down...
[2017-02-28 18:36:12,948][INFO][marissa.handler] shutdown complete!
[2017-02-28 18:36:12,948][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2017-02-28 18:36:12,953][INFO][luminus.http-server] HTTP server stopped
[2017-02-28 18:36:33,529][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:38:29,341][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:38:30,396][INFO][migratus.core] Starting migrations
[2017-02-28 18:38:30,694][INFO][migratus.database] creating migration table 'schema_migrations'
[2017-02-28 18:38:30,714][INFO][migratus.core] Running up for [20170228180616]
[2017-02-28 18:38:30,719][INFO][migratus.core] Up 20170228180616-add-users-table
[2017-02-28 18:38:30,724][DEBUG][migratus.database] found 1 up migrations
[2017-02-28 18:38:30,734][DEBUG][migratus.database] marking 20170228180616 complete
[2017-02-28 18:38:30,741][INFO][migratus.core] Ending migrations
[2017-02-28 18:39:21,020][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2017-02-28 18:39:22,104][INFO][migratus.core] Starting migrations
[2017-02-28 18:39:22,386][INFO][migratus.database] creating migration table 'schema_migrations'
[2017-02-28 18:39:22,406][INFO][migratus.core] Running up for [20170228180616]
[2017-02-28 18:39:22,407][INFO][migratus.core] Up 20170228180616-add-users-table
[2017-02-28 18:39:22,412][DEBUG][migratus.database] found 1 up migrations
[2017-02-28 18:39:22,419][DEBUG][migratus.database] marking 20170228180616 complete
[2017-02-28 18:39:22,425][INFO][migratus.core] Ending migrations
[2017-02-28 18:39:41,238][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
